Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
قم بتسمية أجهزة التلفزيون المميزة الموجودة اليوم والتي لم تكن موجودة قبل 50 عامًا,58,التحكم عن بعد,30,لون,4,مشغل فيديو,3,مقابس الفيديو,2,كابل
اذكر شيئًا قد يحتوي على المكسرات فيه؟,33,حلوى,21,ملفات تعريف الارتباط,18,براونيز,15,فطائر,9,كعكة
قم بتسمية شيء يمكن للطالب تشغيله أثناء الدراسة.,44,راديو,23,ضوء,12,تلفزيون,11,حاسوب,5,آلة حاسبة
سمِّ مخلوقًا – حتى يتحرك – لا تعرف رأسه من ذيله.,33,ثعبان,26,دُودَة,16,سلحفاة,13,نملة,5,كاتربيلر
قم بتسمية شيء يمكنك اختباره في المتجر قبل شرائه,38,عطر,26,تلفزيون,12,ملابس/أحذية,11,حاسوب,8,قرص مضغوط
قم بتسمية شخص قد يعمل في قصر.,45,خادمة,37,كبير الخدم,5,يطبخ,5,بستاني,2,سائق
قم بتسمية شيء يمكن أن يجعل عشاءً رومانسيًا عاديًا.,35,الشموع / الإضاءة,28,خمر,21,زهور,9,موسيقى,3,الشوكولاتة
قم بتسمية لعبة السلطانية المحددة التي تجري خلال العطلات,38,وعاء الورد,20,وعاء برتقالي,17,وعاء القطن,11,وعاء السكر,9,وعاء الحمضيات
قم بتسمية شيء تستخدمه مدبرة المنزل كجزء من وظيفتها,38,مكنسة,21,مكنسة,21,ممسحة,9,قماش الغبار,5,منظف
قم بتسمية شخص قد يلقي خطابًا في حفل زفاف.,43,أفضل رجل,28,الوالد,14,وصيفة الشرف,9,العريس,5,عضو رجال الدين
اذكر السبب الذي قد يجعل الآباء يرغبون في أن يذهب طفلهم إلى كلية معينة.,43,ألما ماتر,19,أكاديميون أفضل,16,سمعة المدرسة,12,التكلفة,9,قريب من المنزل
قم بتسمية شيء يجلس بجانبه الشخص في يوم حار,45,مروحة / مكيف الهواء,20,حمام السباحة,12,المحيط/البحيرة,11,شجرة/ظل,9,مشروب بارد
لماذا قد يرفض الشخص خلع حذائه في الحفلة؟,37,أقدام كريهة الرائحة,33,أرضية قذرة,11,لا الجوارب,10,أقدام قبيحة,4,قدم باردة
أين كنت آخر مرة تناولت فيها الكثير من الشراب؟,52,حاجِز,16,بيت,15,حفلة العيد,8,قِرَان,7,كلية
ما الذي يمكنك الرجوع إليه للحصول على الاتجاهات عندما تضيع؟,55,رسم خريطة,27,نظام تحديد المواقع,8,عامل محطة بنزين,6,شرطة,3,بوصلة
قم بتسمية شيء قالته لك أمك إنه مفتاح الزواج السعيد,39,حب,33,يثق,11,حياة حب صحية,10,تواصل,3,مساومة
قم بتسمية الصورة التي يتم استخدامها غالبًا في الإعلانات في عيد الشكر.,44,ديك رومى,24,عشاء عائلي,17,الحجاج,10,الأمريكيين الأصليين,5,الوفرة
قم بتسمية مجلة يشتريها المراهقون.,37,سبعة عشر,26,في سن المراهقة,17,فوز النمر,8,الناس في سن المراهقة,7,كوزموجيرل
قم بتسمية مكان يمكن أن يمارس فيه شخص ما القيادة لأول مرة.,68,موقف سيارات,11,مدرسة لتعليم قيادة السيارات,8,مجال,8,درب,3,طريق البلد
قم بتسمية مناسبة لن يكون من المألوف أن تصل إليها متأخرًا.,42,قِرَان,30,جنازة,13,العمل/الاجتماع,7,مقابلة وظيفية,5,محكمة
قم بتسمية مكان لا يُسمح لك فيه بمضغ العلكة.,60,مدرسة,25,كنيسة,4,مكتبة,3,سنغافورة,3,محكمة
"قم بتسمية شيء ""يركض"" الناس من أجله.",53,مكتب,23,ماراثون,16,صحة,3,حياتهم,3,غطاء
اذكر شيئًا قد تحتاجه إذا كنت تتناول جراد البحر,30,سمنة,29,مريلة,19,شوكة,8,منديل,8,أداة التكسير
اذكر السبب الذي يجعل الطوابق السفلية في كثير من الأحيان أقل راحة من بقية المنزل,33,بارد,23,مظلم,17,ارضيات اسمنتية,14,رطوبة,8,مخلوقات تعيش هناك
قم بتسمية نوع من البرامج التلفزيونية التي لا يمكنك تخيل وجود مسار يضحك بها الجمهور.,43,أخبار,26,أوبرا الصابون,14,تلفزيون الواقع,9,برنامج حواري,4,دراما الجريمة
إذا كان لدى بيتر بان هاتف - قم بتسمية شخص ما، فمن المحتمل أن يكون لديه اتصال سريع.,55,تينكر بيل,34,ويندي,6,الكابتن هوك,3,الأولاد الضائعون,2,تمساح
قم بتسمية شيء يفعله سنوبي ولا يفعله كلبك,34,يتحدث,27,يطير / طيار,16,النوم في المنزل,13,القراءة/الكتابة,8,الرقص
اذكر شيئًا قد يفعله موسيقي الروك خلال حفل موسيقي والذي قد يبدو مضحكًا بالنسبة لموسيقي كلاسيكي.,32,الصراخ,26,أداة التحطيم,19,القفز حولها,9,خلع القميص,8,الرقص
اذكر شيئًا من شأنه أن يجعلك تترك وظيفتك في يومك الأول,44,مدرب فظ,27,مرهق للغاية,14,دفع سيء,8,ساعات طويلة / الجدول الزمني,5,خطير
اذكر شيئًا تعرفه الحكومة عنك، لكنك لن تتحدث عنه مع زميل في العمل.,31,دخل,26,المعلومات الضريبية,21,الضمان الاجتماعي,15,السجل الجنائي,5,دَين
قم بتسمية شيء ترشه على نفسك والذي من شأنه أن يلسع إذا دخل في عينيك.,34,عطر,26,طارد الحشرات,19,مثبتات الشعر,15,واقي من الشمس/تان,4,مزيل العرق
قم بتسمية شيء يستخدمه الأشخاص للدبابيس.,35,ملابس,34,خياطة,10,عقد الأوراق,8,شعر,5,حفاضات
قم بتسمية شيء يأمل متسابق السيارات ألا يحدث له أثناء السباق.,62,يتحطم,12,مشكلة في المحرك,10,ينفد الغاز,10,الإطارات المسطحة,6,يموت
قم بتسمية شيء قد يدفعك لمشاهدة برنامج تلفزيوني جديد,50,إعلان,20,النجوم,10,يبدو مضحكا,9,اربح المال,6,مختلف
قم بتسمية شيء يحتوي على فقاعات بداخله.,35,الصودا,27,الشمبانيا,20,حمام الفقاعات,11,صابون,4,سائل غسيل الصحون
ما الذي قد يفعله أحد المشاهير ويدفع الناس إلى انتقاده؟,55,حزب,17,يغش,9,القيادة بلا مبالاة,8,الحصول على القبض عليه,5,الطلاق
قم بتسمية مكان عام حيث تخلع ملابسك,32,غرفة تبديل الملابس / المتجر,29,الشاطئ/حمام السباحة,15,مرحاض,13,غرفة خلع الملابس,8,مكتب الطبيب
قم بتسمية جزء من المعلومات التي يمكن العثور عليها على زجاجة الوصفة الطبية.,33,اسم المريض,30,الاتجاهات,16,التاريخ/انتهاء الصلاحية,11,المخدرات / المكونات,8,الطبيب/الاتصال
قم بتسمية شيء يصر الأطفال على فعله بأنفسهم حتى لو استغرق الأمر وقتًا طويلاً.,30,ربط أربطة الحذاء الخاصة بهم,28,ارتداء الملابس,24,الأكل,4,أخذ حمام,3,القيام بواجباتهم المنزلية
قم بتسمية برنامج حواري يمكنك الاستمرار فيه للحديث عن حفل زفافك الكارثي.,36,أوبرا,36,جيري سبرينغر,17,موري,4,تايرا بانكس,4,دكتور فيل
قم بتسمية شيء يطلب الأطباء دائمًا من الناس التوقف عن فعله,69,تدخين,15,الأكل بكثرة,8,أكل الزبالة,4,الكثير من الملح,2,شرب الكحول
اذكر شيئًا من شأنه أن يمنع الشخص من أن يصبح طيارًا.,56,رؤية سيئة,17,الخوف من الطيران,13,الخوف من المرتفعات,6,السجل الجنائي,6,مشكلة الشرب
في خضم لحظة عاطفية - أي اسم لشخصية ديزني سيكون من الصعب قوله بوجه مستقيم,40,أبله,24,ميكي ماوس,14,دونالد داك,11,بليد,8,دامبو
قم بتسمية مكان يغرس فيه الطفل أصابعه ولا يفترض به ذلك,39,المقبس,21,أنف,18,فم,9,مفتاح الضوء,8,أذن
ما نوع حدث الطقس الذي يتصدر الصفحة الأولى للأخبار؟,32,إعصار,31,ثلج/عاصفة ثلجية,28,اعصار,4,فيضان,3,زلزال
اذكر شيئًا قد ينزعج منه والدا أحد فناني السيرك عند رؤيته وهو يؤديه.,43,حبل مشدود,28,أرجوحة,12,ترويض الأسد,9,ابتلاع السيف,7,أكل النار
قم بتسمية شيء معين يضعه أشخاص محددون على السالسا,63,رقائق,22,التاكو,4,الانشالادا,3,بوريتوس,2,بيض
قم بتسمية مكان في جسمك لا يمكنك خدشه عندما تشعر بالحكة,44,خلف,24,قاع,13,قدم,10,حُلقُوم,8,عيون
ما هي الغرفة الأكثر استخداما في معظم المنازل؟,30,حمام,27,غرفة الجلوس,25,مطبخ,14,غرفة نوم,3,غرفة عائلية
لماذا يجوز للإنسان استخدام السلالم بدلاً من المصعد؟,61,يمارس,20,نار,6,المصعد مكسور,6,الخوف من المساحات الصغيرة,3,أسرع
قم بتسمية شيء سترتديه في حفلة صاخبة تحت عنوان العشرينيات.,34,قبعة/عصابة رأس,25,فستان الزعنفة,16,الخرز,14,شعر مستعار / بوب,9,ريشة/بوا
قم بتسمية شيء تطلبه في ماكدونالدز ولم تطلبه أبدًا في مطعم فرنسي فاخر.,45,همبرغر,27,بطاطس مقلية,10,ناجتس الدجاج,8,اللبن المخفوق,5,فيليه يا سمك
قم بتسمية شيء قد تراه في نزل الصيد,55,رؤوس حيوانات مثبتة,20,البنادق,9,الصيادون,5,قرون,5,مدفأة
قم بتسمية شيء ما يتعلمه فتيان الكشافة وفتيات الكشافة,38,إشعال النار,27,مبيعات من الباب إلى الباب,24,مخيم,6,خدمة المجتمع,3,الإسعافات الأولية
اذكر مهنة جيدة للمرأة التي كانت رئيسة المشجعات.,33,راقصة,28,المدرب/المعلم,16,نموذج,12,المتحدث التحفيزي,9,مدرب لياقة بدنية
قم بتسمية شيء قد تستخدم فيه مصباحًا يدويًا أثناء القيام به,42,التخييم,27,البحث عن شيء ما,11,قراءة,11,جولة على الأقدام,7,اصلاح سيارة
قم بتسمية شيء تفضل عارضات الأزياء الاستغناء عنه.,38,الغذاء / الحمية الغذائية,18,الكعب العالي,16,كاماراس,13,ماكياج,9,عيوب
قم بتسمية شيء ما في حفلة العطلة الخاصة بشركتك قد يؤدي إلى إحراج نفسك.,45,حانة مفتوحة,22,حلبة الرقص,12,كاريوكي,9,الهدال,7,طعام مجاني
قم بتسمية مكان يحتاج الأطفال إلى والديهم لتوصيلهم إليه,41,مدرسة,20,المول,15,الأفلام,12,النوادي/الممارسة,10,فريد / حفلة
أخبرني عن الرائحة التي يكرهها معظم الناس.,37,الظربان,15,البيض الفاسد,8,الأمونيا,8,بصل,7,ثوم
قم بتسمية لغة أجنبية لا يتم تقديمها عادةً في المدرسة الثانوية,29,اليابانية,23,الصينية,21,اللاتينية,18,الروسية,9,الألمانية
قم بتسمية حيوان ثقيل لا يسمح له صاحب متجر صيني بدخول متجره.,47,ثور,24,الفيل,16,دُبٌّ,6,الأسد,5,زرافة
يمكن للشريط اللاصق أن يصلح الكثير من الأشياء، لكن اذكر شيئًا باهظ الثمن قد يكون إصلاحه عديم الفائدة.,37,سيارة/إطارات,26,تلفزيون/الكترونيات,16,خاتم / مجوهرات,13,الثلاجة / الأجهزة,6,زجاج/نافذة
قم بتسمية شيء يحتاجه الوكيل العقاري للقيام بعمله.,53,منازل للبيع,16,سيارة,11,العملاء,8,إعلان,6,موقف جيد
قم بتسمية كلمة يستخدمها الناس لتجنب الشتائم.,38,الرتق,29,تبادل لاطلاق النار,15,دانغ,8,حلوى,5,يا إلهي
اذكر شيئًا قد تدفع مقابله مبلغًا إضافيًا عند استئجار سيارة,53,تأمين,13,ستيريو أفضل,12,رسوم الأميال,10,سيارة أكبر,7,نظام تحديد المواقع
قم بتسمية الطعام المصنوع من الذرة.,29,الفشار,26,خبز الذرة,20,خبز التورتيلا/رقائق البطاطس,9,الهدايا,16,رقائق الذرة / الحبوب
قم بتسمية مكان عام يمكن أن تشاهد فيه وأنت ترتدي ملابس أقل من المعتاد.,43,شاطئ,31,حمام سباحة,10,ملهى,6,سبا,5,نادي رياضي
اذكر سببًا يجعلك تستيقظ زوجتك في منتصف الليل,41,سمعت ضجيجا,17,”في المزاج“,16,الشخير,9,أنت مريض,5,كان كابوسا
قم بتسمية حالة جوية مكونة من 4 حروف,41,ثلج,35,مطر,13,بارد,6,رياح,3,يشيد
قم بتسمية شيء يمتلك المشجع الكثير منه.,37,طاقة,25,بوم بوم,24,روح,5,هتافات,2,شعر
قم بتسمية نوع الحفلة الذي لا بد أن يخرج عن نطاق السيطرة قليلاً.,36,حفلة البكالوريوس (إيت).,24,حفلة الكلية/فراط,14,حفلة البيت,10,ليلة رأس السنة الجديدة,8,الهالوين/زي
قم بتسمية جزء من جسم الملاكم الذي قد يتورم بعد المباراة,29,الخدين,27,عيون,16,أنف,10,شفه,5,الأيدي
قم بتسمية طريقة معينة تتمنى أن تكون بها حياتك مثل أحد أفلام هوليود,44,لديك الكثير من المال,22,البحث عن الحب الحقيقي,20,العيش في منزل جميل,9,الكثير من الدراما,4,نهاية سعيدة
قم بتسمية كلمة أو عبارة أخرى يستخدمها الأشخاص ليقولوا وداعًا,40,أراك لاحقًا,21,سنشتاق إليك,20,وداعا,9,تشاو,5,هاستا لا فيستا
قم بتسمية شيء كنت ستتعلم القيام به في صف السباحة الأول,68,يطفو,13,احبس النفس,6,مجداف هزلي,4,نفخ الفقاعات,3,رئيس تحت الماء
قم بتسمية شيء قد تفقده مع تقدمك في السن.,41,ذاكرة,27,شعر,11,أسنان,9,البصر العين,6,السمع
قم بتسمية نوع من الموجات التي لا يمكنك الركوب عليها,39,المد والجزر,24,يُسلِّم,16,صوت,11,راديو,4,حرارة
سألنا 100 زوج: إذا كانت زوجتك تحدق بك أثناء عشاء العطلة، فماذا يمكن أن تقول لك بنظرتها,38,أحبك,23,الخاص بك في ورطة,13,دعونا نغادر,10,توقف عن الحديث,9,مساعدة / أطباق
قم بتسمية شيء يكتبه الناس غالبًا على ظهر البطاقات البريدية,30,اسم,26,عنوان,16,مع الحب,14,أفتقدك,11,مرحبا / مرحبا
قم بتسمية سلسلة جبال معروفة بالتزلج,35,روكي,32,جبال الألب السويسرية,8,سييرا,6,الآبالاش,4,هيميليسا
قم بتسمية غرفة قد تجدها في قصر، ولكن ليس منزلًا عاديًا,40,مكتبة/دراسة,22,غرفة الألعاب,18,غرفة حمام السباحة,9,صالون,8,مسرح منزلي
"في ""Family Feud-"" قم بتسمية شيء يسأل المضيف اللاعبين عنه.",52,عائلة,17,اسم,17,وظيفة,7,عمر,4,مسقط رأس
قم بتسمية شيء قد يرتديه الرجل الخجول لإخفاء وجهه.,45,قبعة/عصابة رأس,24,نظارات,16,شعر الوجه,9,وشاح,4,كَبُّوت
قم بتسمية شيء ترتديه ويغطي أذنيك.,50,واقيات الأذن,35,قبعة,5,سماعات الرأس,4,وشاح,3,كَبُّوت
قم بتسمية شيء قد يقلعه المراهق قبل الذهاب إلى منزل الجدة لتناول العشاء.,38,ماكياج,32,قبعة,13,ثقب,9,أحذية,3,زُنط
قم بتسمية شخصية خيالية لها هويتين,35,سوبرمان,33,جيكل وهايد,17,باتمان,5,سبايدرمان,3,الهيكل
قم بتسمية شخص لا تريد أن تشعر بالسكر أمامه.,42,الوالد,41,رئيس,7,القس,4,ضابط شرطة,4,في القوانين
قم بتسمية شيء من الأفضل أن تنفق عليه الكثير من المال بدلاً من إنفاق القليل منه.,35,سيارة,23,إصلاح المنزل/المنزل,20,طعام,11,الهدايا,9,تأمين
"قم بتسمية شيء ""أمريكي مثل فطيرة التفاح"".",36,البيسبول,21,علَم,13,همبرغر,11,شيفروليه,4,جينز
اسم مشروب يضع الناس فيه الثلج.,47,شاي,24,الصودا,14,الكحول,8,ماء,7,عصير
قم بتسمية شيء يفعله ميك جاغر كثيرًا,56,يغني,10,الرقص,10,يصرخ,9,رحلة,7,القفز
قم بتسمية جزء محدد من جسمك قد ينصحك الطبيب بالعناية به بشكل أفضل,51,قلب,24,الظهر/العمود الفقري,6,قدم,4,عيون,4,الكلى
قم بتسمية المنتج الذي كان البائع يبيعه من الباب إلى الباب,46,مكنسة كهربائية,28,مستحضرات التجميل,11,موسوعة,5,الكتاب المقدس,4,سكاكين
قم بتسمية المنتج الذي يستخدمه البائعون من الباب إلى الباب للبيع.,46,مكنسة كهربائية,28,مستحضرات التجميل,11,موسوعة,5,الكتاب المقدس,4,سكاكين
اسم شيء يشربه الناس كثيرًا في الصيف,36,عصير الليمون,25,شاي مثلج,19,ماء,10,جعة,5,مساعدات رائعة
اذكر الجانب السلبي لكونك أصغر طفل في العائلة الكبيرة.,61,سلمني الملابس,18,تعامل مثل الطفل,7,تم اختياره,5,لا احترام,4,قلة الاهتمام
حقيقي أم خيالي - قم بتسمية شخص مرتبط بحمل,71,ماري,8,عيسى,6,ليتل بو بيب,5,الراعي,4,خروف (دمية)
قم بتسمية شيء قد يشاركه التوائم دائمًا.,40,يبدو,27,آباء,24,عيد ميلاد,5,الجينات,3,اسم العائلة
قم بتسمية نوع العمل المناسب في منطقتك,48,متجر السوق/التحويل,33,محطة بنزين,8,بنك,4,مطعم,3,مغسلة
ما هي المهنة التي تتوقع أن يحصل عليها رجل يُدعى بويندكستر؟,41,عالم,22,محاسب,19,مبرمج كمبيوتر/تقنية,6,مدرس,6,محامي
بخلاف القطن - اذكر المادة التي تصنع منها العديد من الملابس.,32,البوليستر,30,الحرير,19,صوف,10,نايلون,7,جلد
قم بتسمية شيء قد يكون موجودًا على عود أسنان داخل مشروب فاخر,59,زيتون,18,الكرز,7,مظلة,6,ليمون,4,الجير
اذكر الهدية التي لن تُعجب المرأة العملية جدًا بتلقيها من رجل.,38,زهور,27,مجوهرات,13,عطر,12,حلوى,7,ملابس داخلية
تسمية العبارة الشهيرة من ساحر أوز؟,28,قبالة لرؤية المعالج,23,لا مكان مثل المنزل,23,اتبع طريق الطوب الأصفر,13,سأحضر لك جميلتي,13,الأسود والنمور والدببة
قم بتسمية شيء يفعله الناس في الغابة والذي ربما يزعج الحيوانات التي تعيش هناك,36,مطاردة,33,تخفيف أنفسهم,16,مخيم,7,قطع الأشجار,4,القمامة
قم بتسمية شيء يجب أن يخبرك به إعلان الوظيفة عن الوظيفة.,45,يدفع,25,عنوان,16,ساعات,9,الواجبات,3,موقع
قم بتسمية شيء تم تخصيصه,47,لوحة الترخيص,23,ساعة/مجوهرات,19,شلل الأطفال/قميص العمل,6,مجموعة المناشف,3,علامة الأمتعة
قم بتسمية شيء قد يطلب المدير من سكرتيرته أن تذكره به.,54,المواعيد,21,عيد ميلاد الزوجة,12,عيد,8,المكالمات,5,غداء
قم بتسمية شيء خاص بك قد يحاول المتطفل الوصول إليه.,54,مذكرة,20,الحساب البنكي,9,حاسوب,8,كلمة المرور,6,بريد
قم بتسمية شيء تحتاجه إذا كنت تريد أن تبدو مثل حاصد الأرواح.,43,غطاء محرك السيارة الأسود والرأس,20,المنجل,13,هيكل عظمي,11,قناع,8,ماكياج
اذكر شيئًا سيئًا لن يتمكن الأطفال الذين يعيشون في البيت الأبيض من الإفلات منه أبدًا,31,التسلل خارجا,25,السرقة من المتاجر,14,تخطي المدرسة,12,التدخين/الشرب,9,صنع الفوضى
قم بتسمية نشاط خارج المنهج يقول الآباء إنه مفيد للطفل.,36,الرياضة الجماعية,22,دروس الموسيقى,21,فئة الرقص,12,مسرح,3,الفنون القتالية
قم بتسمية الطعام الذي يمكن تشكيله على شكل معين,47,جيلو,28,عجين,9,جبن,5,رغيف اللحم,5,البطاطس المهروسة
قم بتسمية أحد المحترفين الذين تكره الاتصال بهم لأن الفاتورة باهظة الثمن؟,35,سباك,29,محامي,24,طبيب,5,كهربائي,4,ميكانيكي
قم بتسمية شيء تميل دائمًا إلى سرقته من عيادة الطبيب.,39,قفازات,26,مجلة,12,مساعدات الفرقة,11,قلم,7,الدواء
قم بتسمية نوع المهنة التي ستتفاجأ فيها كثيرًا برؤية شخص لديه وشم.,44,طبيب,32,الزعيم الديني,8,محامي,7,مدرس,6,نموذج / ممثل
أي نوع من المخلوقات غالبًا ما يكون الشرير في القصص الخيالية؟,49,ذئب,16,غول,13,التنين,9,ساحرة,7,وحش
قم بتسمية شيء يرتديه لاعبو كرة القدم للحماية.,43,خوذة,25,كوب,19,منصات الكتف,5,منصات الركبة,3,حارس الفم
"قم بتسمية كلمة أو عبارة تبدأ بكلمة ""فم"".",36,غسل الفم,23,الفم معطلة,16,الفم إلى الفم,12,جرعة,10,واقي الفم/قطعة
قم بتسمية مكان يوجد به في كثير من الأحيان خط لمرحاض النساء.,29,حاجِز,26,حفلة موسيقية,19,مول,13,مطعم,11,مسرح السينما
قم بتسمية شيء يمكنك ضبط مستوى الصوت عليه,39,تلفزيون,31,راديو/ستيريو,10,حاسوب,9,هاتف,7,مشغل MP3
قم بتسمية شخص ما في حياتها قد تكون المرأة معجبة به؟,36,مدرس,26,رئيس,21,صديق,11,طبيب,3,جار
ما هي الكلمات التي يستخدمها الأطفال عادة لوصف شيء يحبونه؟,51,رائع,18,مذهل,14,لذيذ,9,جيد,5,لطيف - جيد
قم بتسمية سبب اختيارك للاسم المستعار بدلاً من اسمك الكامل,44,أقصر,31,عدم الإعجاب بالاسم الكامل,12,الأصدقاء / العائلة يصرون,7,اسم نادر / يصعب قوله,5,اللقب يبدو باردا
قم بتسمية شيء يتمنى كل عروس أن تكون عليه حماته,33,هادئ,20,كوك جيد,16,ليس فضولي,10,يعيش بعيدا,10,ني
قم بتسمية شيء أدركت فيه أنك أكبر من أن تتحمله.,34,أطفال,29,الدراما / القيل والقال,15,مواعدة,12,ضوضاء,8,الحياة الليلية
أخبرني عن السبب الذي يجعل الطفل لا يذهب للسباحة طوال الصيف,31,لا أستطيع السباحة / خائف,23,في فريق التمثيل,17,مؤرض,11,الطقس البارد,5,لا يوجد حمام سباحة
قم بتسمية شيء ستشتري منه كثيرًا عند استضافة حفلة رأس السنة الجديدة.,54,مشروبات,27,طعام,11,زينة,4,أواني,3,صناع الضوضاء
قم بتسمية لافتة قد تراها منشورة في أحد المطاعم.,78,ممنوع التدخين,7,دورات المياه,5,انتظر لتجلس,2,لا قميص لا خدمة,2,لا الرد. للعناصر
قم بتسمية الطعام الذي تشطفه من الطبق على الفور أو يصبح قاسيًا كالصخرة,31,بيضة,29,صلصة الجبن,18,المعكرونة,12,البطاطس المهروسة,8,دقيق الشوفان/الحبوب
قم بتسمية شيء تجده على غلاف رواية.,44,اسم المؤلفين,38,عنوان,8,دعاية مغالى فيها,6,صورة,4,في قائمة أفضل البائعين
قم بتسمية شيء ما في حفل لموسيقى الروك لا تدفع مقابل رؤيته، ولكن شاهده على أي حال.,31,معارك,29,الشرب/المخدرات,19,الحشود,13,ملابس بخيل,6,فرقة الافتتاح
اسم فيلم يتضمن فيل.,48,دامبو,19,طرزان,17,كتاب الغابة,7,جومانجي,4,العملية: إسقاط دامبو
قم بتسمية مكان يكون الجو ممطرًا فيه دائمًا.,50,سياتل,22,الغابات المطيرة,14,لندن,4,فلوريدا ايفرجليدز,4,ولاية أوريغون
قم بتسمية شخصية شكسبيرية سمع عنها معظم الناس.,56,روميو,20,قرية,15,جولييتجولييت,3,ماكبث,3,عطيل
اسم شيء يرتديه عمال البناء,67,قبعة صلبة,14,حزام الأدوات,8,أحذية,4,سترات برتقالية,4,وزرة
اذكر شيئًا قد يقلق الزوجان بشأن قلة إنجابهما بمجرد إنجاب الأطفال,60,مال,16,حميمية,13,وقت,5,خصوصية,5,شركاء الحب
"قم بتسمية عنصر غذائي قد يقدمه المطعم باسم ""كل ما يمكنك تناوله"".",32,فرخة,26,بار السلطة,21,جمبري,7,أرجل السلطعون,6,المعكرونة
قم بتسمية شيء مشترك بين مضيف برنامج الألعاب والمعلم الجيد,35,المتحدث الجيد,33,ذكي,19,روح الدعابة,8,شخصية,3,الصبر
إذا كنت هالك المذهل - أخبرني ما هو الجزء من يومك الذي من المرجح أن يحولك إلى وحش.,30,التسوق,25,عمل,19,القيادة,14,تنظيف,9,دفع الفواتير
إلى جانب الركاب - من الذي قد تراه في محطة مترو الأنفاق؟,42,شرطة,33,موصل,11,شخص بلا مأوى,5,آخذو التذاكر,3,المؤدي
اذكر شيئًا قد ينصحها طبيب المرأة بعدم ارتدائه.,45,الكعب العالي,23,جوارب طويلة,12,ماكياج,9,حزام/مشد,4,عطر
"قم بتسمية كلمة أخرى لـ ""القليل"".",39,صغير,15,صغير الحجم,5,مصغر,3,ميني,2,صغيرتي
قم بتسمية أفضل شيء متوفر الآن رقميًا - ولكنه لم يكن كذلك دائمًا,35,تلفزيون,20,ساعة,19,كانارا,14,MP3/موسيقى,10,هاتف
قم بتسمية نوع الكتاب الذي لا يُتوقع منك قراءته بالكامل.,36,الكتاب المقدس,28,قاموس,15,موسوعة,10,كتاب نصي,8,دليل التلفونات
قم بتسمية مهنة جيدة لشخص يحب أن يكون مركز الاهتمام,47,ممثل,27,مغني,12,مدرس,6,نموذج,4,سياسي
"لكي تبدو مثل ""الرجل العادي"" قم بتسمية مكان يمكن أن يقضي فيه السياسي وقته.",38,حاجِز,27,صالة البولينغ,23,العشاء,6,حفل موسيقى الروك,5,قاعة البلياردو
قم بتسمية النشاط التجاري الذي ترغب في بقائه مفتوحًا لاحقًا.,27,بنك,24,مطعم,24,حاجِز,13,سوبر ماركت,9,مكتب البريد
اذكر شيئًا سيكون السياسيون أفضل حالًا بدونه,29,وعود كبيرة,27,المال / الجهات المانحة,25,فضيحة,8,وسائط,5,الطاقة/التحكم
ما الموضوع الذي قد تراه في مجلة نسائية ولا يوجد أبدًا في مجلة للرجال؟,37,ماكياج,29,فترة,12,موضة,10,طبخ,10,الحمل
قم بتسمية شخص يمنعه بارت سيمبسون من أن يصبح صديقًا له على فيسبوك.,33,والده / هوميروس,30,أخته / ليزا,15,والدته / مارج,6,الفتوة / نيلسون,3,سكينر الرئيسي
اذكر شيئًا قد يفعله رجل الكهف لإثارة إعجاب امرأة الكهف,36,قتل الديناصور,21,فاز على صدره,14,اصنع النار,14,أحضر لها اللحوم,9,سحبها من الشعر
قم بتسمية شيء قد تقود فوقه وقد يتسبب في رحلة وعرة,39,المطبات,27,بوت هول,12,طريق الحصى,11,الصخور,4,مسار السكك الحديدية
قم بتسمية مكان حيث يمكنك دائمًا العثور على سيارة أجرة,47,نيويورك,35,مطار,5,الفندق,4,يتنفس,2,محطة سكة حديد
قم بتسمية شيء قد تضطر إلى تحمله في مقهى خارجي ولا يمكنك تحمله عند تناول الطعام في الداخل,31,البق,21,رياح,16,الطقس البارد,15,شمس,12,مطر
اذكر اسم الفاكهة التي يضعونها في الآيس كريم,49,الفراولة,18,خَوخ,13,الفراولة,10,موز,4,توت العُليق
قم بتسمية مكان يصعب التحدث فيه بسبب كل الضوضاء في الخلفية,53,حفلة موسيقية,21,حاجِز,10,لعبة رياضية,5,مول,5,مطعم
قم بتسمية شيء قمت بقصه بالمقص.,68,ورق,10,شعر,9,ملابس,5,الأظافر,3,الشريط
قم بتسمية المهنة التي من المحتمل أن تستخدم فيها الكثير من مستحضرات الوقاية من الشمس.,45,يا حارس الشاطئ,20,بناء الطرق,14,سكابر الأرض / البستاني,11,مزارع,8,سقف
اسم الممثل الذي لديه أيضا فرقة روك؟,33,كيانو ريفز,24,كيفن بيكون,17,بروس ويليس,14,جاك بلاك,7,راسل كرو
قم بتسمية شيء ما في أحد المطاعم قد يستمر في إعادة تعبئته,58,شرب,13,كاتشب,11,سلة الخبز,11,ملح/فلفل,3,وعاء سلطة
قم بتسمية آلة يمكن أن تبدو متذمرة,40,كمان,28,الفلوت,19,الكلارينيت,6,غيتار,4,ساكسفون
اذكر شيئًا يعرفه الناس عن العناكب.,37,8 أرجل,26,يعضون,17,اصنع شبكات,12,سامة,4,مخيف
قم بتسمية شيء تأخذه نفسًا عميقًا قبل النظر إليه,42,الدم / الإصابة,2,الشؤون المالية,16,وزنك,10,الدرجات,7,فيلم مخيف
