Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
What Might A Health Inspector Find In A Restaurant That Causes It To Get A Poor Score?,41,Rodents,27,Bugs/Roaches,16,Dirty Dishes,5,Mold,5,Hair
Name Something People Serve With Biscuits.,56,Gravy,24,Butter,6,Mashed Potatoes,5,Jelly,5,Honey
Name A Piece Of Information You’d Include In A Personals Ad But Not On A Resume.,57,Age,13,Height,12,Marital Status,11,Weight,4,Horoscope Sign
Name Something Specific That People Flip,44,Coin,26,Pancake,13,Burger,8,Hair,6,House
Name A Famous Howard.,61,Howard Stern,14,Howard Hughs,8,Howard Cosell,6,Howard johnson,5,Howard The Duck
Name Something That Would Make You Suspicious If Your Date Said He Didn’t Have Any.,47,Money,21,Friends,15,Family,8,Exes,6,Identification
Name Something Peoiple Subscribe To By Month,54,Magazine,28,Newspaper,7,Cable,5,Gym,3,Internet
Name Something A Baby Doesn’t Have That Most Adults Do,49,Teeth,34,Hair,7,Car,4,Money,3,Job
Name Something You Wave In The Air.,39,Hands,24,Flag,13,Sign/Banner,11,Kite,6,Lighter
Which Piece Of Playground Equipment Has Probably Resulted In The Most Injuries?,36,Swings,30,Jungle Gym,23,Slide,4,Seesaw,4,Merry Go Round
Name An Animal That’s Usually Not Dangerous- But Many People Are Afraid To Touch,45,Dog,36,Snake,6,Skunk,5,Frog,5,Mouse
Name Something You Need When You’re Moving.,44,Moving Truck,33,Boxes,12,Dolly,6,friends To Help,4,Movers
Name An Appetizer You Might Find Served At A Bar,36,Peanuts,21,Chicken Wings,19,Pretzels,9,Popcorn,9,Nachos
Other Than A Canvas- Name Something That You Put Paint On.,39,Wall,33,House/Building,13,A Face,8,Porch/Fence,4,Nails
Name A Reason You Might Have To Get A Change For A Dollar,47,Make A Phone Call,38,Vending Machine,5,Parking Meter,4,Bus Fare,3,Newspaper Machine
Name A Member Of The Celebrity Elite Who Is Famous For No Apparent Reason.,38,Paris Hilton,18,Kevin Federline,16,Donald Trump,14,Kim Kardashian,12,Nicole richie
Name Something A Driver Might Do When He Sees A Police Car.,67,Slow Down,10,Pull Over,9,Put Seat Belt On,7,Run The Other Way,5,Panic
Name An Office Supply That You’d Be Surprised To See On Your Kid’s List Of School Supplies.,35,Computer,27,Stapler,18,Copier/Fax,5,Envelopes,5,Paper Clips
Besides Your Plane Ticket- Name Something You Can Spend Money On At An Airport,44,Food/Drink,27,Magazine/Paper,11,Souveniers,9,Luggage Fee,6,Parking
Name Something You Tap.,34,Foot,16,Table,16,Fingers,12,Drum,12,Pencil
What Would You Be Surprised To See A Child Do At A Bowling Alley?,66,Get A Strike,12,Smoking,10,Drinking,6,Sleeping,3,Perfect Game
Name A Door That You’d Hate To Leave Unlocked Accidentally,37,Front Door,35,Car Door,13,Bathroom Door,7,Safe,5,Pet
What Does A Businessman Use When Making Speeches- But Pastors Don’t During Their Sermons?,55,Note Cards,14,Chart,11,Pointer,11,Powerpoint,7,Projector
Name Something Kids Look Forward To,41,Vacation,29,Christmas,13,Birthday,5,Gifts,5,Recess
Name A Piece Of Information That Might Be On A Dog’s Tag.,42,Name,22,Address,21,Phone Number,11,Owner’s Name,2,Reward
Name A Specific Occupation Where They Wear Sneakers.,55,Basketball Player,15,Coach,14,Tennis Player,6,Nurse,4,Runner
Name Something A Pet Might Do To Its Owner’s Shoes.,54,Chew/Bite Them,28,Relieve Thenselves,7,Hide Them,7,Drool/Lick Them,3,Smell Them
Name Something About You That Has Not Changed As You’ve Gotten Older,41,Personality/Attitude,34,Eyes,11,Name,6,Sense Of Humor,5,Smile
If You Were Designing An Airport- Name Something You’d Make Sure There Was A Lot Of.,30,Bathrooms,24,Runways,22,Chairs,10,Computers,8,Smoking Areas
Name Something That Might Be Carved Into A Christmas Ice Sculpture.,39,Angel/Religious Fig.,24,Tree,15,Santa/Reindeer,8,Penguins/Animals,5,Snowflake
Name A Reason Why A Man Might Delay Proposing To His Girlfriend.,38,Nervous,33,No Money,17,Not Ready,6,Unsure,5,Someone Else
Name Something A Deejay Needs To Play A Gig.,34,Music,23,Turntable,16,Microphone,12,Laptop/Ipod,9,Sound System
Name A Job From Which You Would Come Home Smelling Really Good.,41,Baker,32,Perfume Seller,14,Florist,9,Chef,3,Spa Employee
Name Something People Do With Pennies.,68,Save Them,12,Throw In A Fountain,9,Roll Them Up,3,Throw Them Away,3,Spend Them
Tell Me A Reason You Might Be Low On Sleep.,44,Overworked,26,kids/New Baby,13,Can’t Sleep,6,Sick,5,Studying
Name Something Oprah Winfrey Has That The Average Woman Admires.,49,Money,15,Talk Show,12,Self Esteem,11,Charisma,8,Style
What Might A Bankrobber Wear In Order To Keep His Identity A Secret?,58,Mask,13,Gloves,10,Wig,8,Hat,5,Sunglasses
Name An Expensive Food That You Wouldn’t Serve At A Kid’s Birthday Party,31,Caviar,27,Filet Mignon,24,Lobster,8,Shrimp,7,Sushi
Name A Department Store Where People Shop During The Holidays.,38,Wal Mart,37,Macy’s,13,Sears,5,J C Penny,2,Target
Name Something You Should Always Carry Extra Of When Flying By Plane.,38,Money,23,Change Of Clothes,17,Snacks,10,Gum,7,Tissue
What Might You Find In Your Food That Belongs To The Cook?,46,Hair,23,Ring,17,Fingernail,5,Bandage,3,Tooth
Name A Type Of TV Show That You Wouldn’t Want To See Your Grandma On,33,Reality TV,33,Talk Show,14,Dating Show,9,Romantic Drama,5,True Crime
Name Something People Take Along To Make A Long Car Ride Go Faster.,38,Music,27,Reading Matereal,14,Games,10,Snacks,5,TV/Movie
Name Another Word For “Ugly.”,25,Gross,23,Hideous,18,Homely,15,Nasty,14,Unattractive
Where In Your House Do You Look For Something That’s Been Packed Away For Winter?,41,Attic,32,Closet,15,Basement,6,Garage,4,Under Bed
When Living In An Apartment- Name Something You Can Often Hear Your Neighbors Doing.,51,Fighting,24,Talking,12,Watching TV,5,Partying,3,Vacuuming
Name A Service A Hotel Provides That You With You Had At Your House.,42,Room Service,33,House Keeping,13,Massage,7,Laundry,5,Valet
Name A Way People Get To Work In The Morning.,44,Car,20,Public Transportation,15,Carpool,10,Bike,5,Walk
Name Something That Farmers 100 Years Ago Did By Hand- But Now Do With Machines.,36,Plow The Field,24,Plant Seeds,23,Milk Cows,11,Harvest Crops,5,Water Crops
Name A Sport Where Players Lose Teeth.,49,Hockey,33,Boxing,10,Football,4,Baseball,2,Wrestling
Name A Patriotic Song,35,Star Spangled,25,God Bless America,15,Born In The USA,12,Amer The Beautiful,7,Yankee Doodle
Name Something People Put On The Outside Of Their Car.,29,Wax,28,Sticker,15,License Plate,15,Cover,5,Antenna
Which Traditional Dish Would You Prepare For Somebody Learning About American Culture?,39,Hamburger,20,Fried Chicken,17,Pizza,13,Hot Dog,8,Apple Pie
If Your Cat Learned To Speak- Name Something It Would Ask For,43,Food/Milk,25,Pets/Scratches,10,Clean Litterbox,7,Catnip,4,Attention
Name A Reason Why A Student Might Be Moved To The Front Of The Class,46,Poor Vision,23,In Trouble,23,Teacher’s Pet,5,Hear Better,3,Attractive Teacher
Name An Activity Some Men Do With Their Buddies Where Wives Aren’t Invited,35,Play Poker,30,Go To Bar,12,Watch Sports,11,Golf Outing,6,Bachelor Party
Name Something People Do With Their Dogs That They Don’t Do With A Pet Goldfish.,40,Walk,31,Pet,16,Play Fetch,5,Groom,3,Bathe
Name A Minor Ailment You Can’t Stop Your Body From Doing- But Would Dread Having Happen At Your Wedding Ceremony.,30,Hiccups,21,Coughing/Choking,19,Pass Gass,13,Sneezing Fit,12,Bloody Nose
What Might A Girl Wear For The First Time To Her Junior High Dance?,39,Formal dress,26,High Heels,17,Makeup,11,Coursage,4,Bra
Tell Me Something A Woman Might Do To Spoil Herself (More Specific Than “Spa”).,38,Shop,24,Manicure,20,Hair Salon,11,Massage,6,Bubble Bath
Name A Movie About Baseball Players,29,Angels In Outfield,18,League Of Their Own,17,Field Of Dreams,16,The Natural,14,Bull Durham
Name A Baby Farm Animal That A Child Would Probably Want To Keep As A Pet.,37,Piglet,24,Lamb,19,Chick,9,Kid/Goat,8,Bunny
Name Something In Your Wallet That Might Be Used For An ID,55,Driver’s License,25,Social Security,9,School ID,6,Credit Card,3,Business Card
Name A Way That People Spoil Their Pets.,31,Give Them treats,20,Feed Too Much,15,Sleep With Them,12,Buy Them Clothes,9,Buy Them Toys
Other Than An Alarm- What Do People Use To Wake Them Up?,38,Cell Phone,22,Radio,21,Rooster,11,Sun,6,Cat/Dog
Name A Type Of Sauce That You’d Never Put On Pasta,30,Apple Sauce,26,Hot Sauce,16,Ketchup,13,BBQ,12,Chocolate Sauce
Name An Occasion Or Place Where You Would Not Admit That You Don’t Like The Food.,38,Wedding,28,Family Dinner,12,Birthday Party,6,On A Date,3,Church Picnic
Name A School Supply That You Haven’t Used Since You Were Young.,38,Crayon,25,Ruler,18,Pencil/Eraser,11,Paste/Glue,5,Compass
Name A Specific Food That’s Hard To Cook Well- Without Burning,31,Steak,26,Eggs,19,Toast,11,Chicken,8,Cookies
Other Than Sleep- Name Something You Do While Lying Down,36,Read,27,Watch TV/Movie,19,Make Love,6,Sun Bathe,3,Exercise
Name A Word That Starts With “F” That Best Describes Your Cat,38,Furry/Fluffy,31,Fat,13,Funny,8,Fast,3,Frisky
Name Something A Kid Might Do To Get Out Of Taking A Bath,40,Cry/Tantrum,21,Go To Bed,15,Fake Sickness,12,Run,9,Hide
Name Something Ugly That Can Grow On Your Feet,38,Corn,30,Athletes Foot,19,Wart,7,Bunion,6,Ingrown Toenail
Name Something About Wonder Woman The Average Woman Might Envy,60,Body,19,Power,9,Strength,5,Looks,3,Invisible Plane
Why Might Someone Who Doesn’t Like Reading Go To The Library?,36,Use Computer,31,Study,13,Meet People,10,Research,5,It’s Quiet
We Asked 100 Husbands: If Your Wife Had A Personal Assistant- Name Something They’d Be Asked To Do.,39,Cook,25,Clean,17,Laundry,12,Shop,4,Make Coffee
Name A Famous Male- Real Or Fictional- Who Wears Tights,35,Robin Hood,27,Superman,13,Peter Pan,10,Batman,9,Mikhail Barishnikov
Name A Beverage That’s Not Sweet,28,Coffee,25,Water,19,Tea,17,Beer,8,Milk
Name Something People Go To That Might Be Sold Out,47,Concert,25,Movies,11,Sports Event,9,Theatre,3,Musical
Name A Reason Why Parents Say That Childhood Is Better Than Adulthood.,53,No Bills,19,No Work,12,No Worries,9,More Fun/Playing,6,No Resposibility
Name A Fruit That Starts With The Letter “P.”,28,Pear,25,Peach,17,Pinapple,15,Plum,9,Papaya
Name A Way That You Wish Your Life Was More Like Your Cat’s Life,38,Sleep All Day,22,Have 9 Lives,19,Pleny Of Food,15,No Job,5,Plenty Of Play Time
Name Something You Do To Your Lawn That You Would Never Do To Your Wall-To-Wall Carpet.,39,Water It,36,Cut It,13,Fertilize It,4,Plant Flowers,2,Rake It
Name Something People Do While Telling A Lie That Gives Them Away.,38,No Eye Contact,25,Stutter,15,Sweating,11,Smile/Nervous Laugh,5,Red Face
Name Someone You Might Tip At A Hotel,67,Bellhop,14,Doorman,7,Waiter,5,Maid,4,Room Service
Tell Me Something You Would Let Your Dog Do- But Not Your Child.,31,Pee Outside,24,Lick,17,Drink From Toilet,15,Eat Scraps,9,Run Loose
Name Something That You Could See On An Alaskan Cruise That You Probably Wouldn’t See On A Caribbean Cruise,37,Iceberg,29,Snow,21,Polar Bear,6,Whale,4,Seal
Name Something That Comes In A Bottle,29,Soda,24,Beer,20,Perfume,12,Milk,9,Shampoo
Tell Me An Activity That Some People Are Told To Do More Of- And Others Are Told To Do Less.,44,Exercise,35,Eat,8,Talk,8,Work,3,Sleep
Name A Specific Quality That Would Make Your Buddy A Bad Wing Man,36,Very Shy,22,Too  Handsome,15,Drinks Too Much,12,Bad Hygeine,5,Smokes
What Did 100 Wives Say Their Husbands “Always Think They’re Right About” In An Argument?,34,Money,26,Raising Kids,11,Romance/Relationship,8,Cars,6,Sports
Name Something That Superstitious People Believe Will Bring Bad Luck.,65,Black Cat,18,Breaking A Mirror,9,Walk Under A Ladder,3,Number 13,3,Step On A Crack
Name A Way You Might Be Able To Tell What Someone Just Had For Lunch.,68,Breath,15,Burp,7,Stains,4,Crumbs On Teeth,4,They Vomit
Name Something That Has Springs In It.,57,Bed,17,Couch,12,Chair,8,Pogo Stick,5,Trampoline
Name Something That Might Cause A Real Life Family Feud Among Neighbors.,33,Noise,26,Money/Property,15,Dogs/Pets,14,Naughty Kids,9,Unkempt Yard
Name Something People Do On Ice,70,Skate,9,Play Hockey,8,Fall Down,7,Ice Fish,3,Walk
Name Something You Might Do After Your House Has Been Robbed.,62,Call Police,16,Get An Alarm,11,Move,6,Cry,5,Yell
How Many Days Does A Cold Last?,36,7,25,3,17,5,10,4,6,6
Tell Me How Fast Most People Drive On The Freeway. (Numeric Only),33,70,31,75,14,65,12,80,7,60
Name Something You Do When Approached By A Salesperson At A Store.,45,Avoid Them,18,Ask For Help,17,Smile,10,Say Hi,10,“Just Looking”
When Traveling Overseas- Tell Me The Ideal Amount Of Time To Be Away From Home,24,2 Weeks,20,3 Weeks,13,1 Week,5,1 Month,4,10 Days
Name A Controversial American President,33,George W Bush,29,Richard Nixon,25,Bill Clinton,3,John F Kennedy,3,Abraham Lincoln
Name An Occupation Where You Have To Be Really Smart,41,Doctor,28,Lawyer,13,Scientist,6,Engineer,6,Accountant
Name A Profession Where Neatness Counts,35,Doctor/Nurse,23,Maid,16,Teacher,14,secretary,9,Accountant/Banker
Name Something Your Spouse Does To Let You Know They’re “In The Mood For Love.”,44,Kiss/Touch,18,Touch,12,Turn On Music,10,Undress/Change Clothes,5,Acty Flirty
Name Something A Person Might Change After Breaking Up With A Partner.,37,Phone Number,21,Hair,18,Name,12,Locks,6,Address
Name Something A Firefighter Needs A Lot Of,75,Water,9,Strength,4,Rest,4,Ladders,2,Air
Name Something A Reality Show Is Incomplete Without.,53,Drama/Fighting,24,Contestants/Celebs,12,Romance,6,Camaras,4,Alcohol
Name A Way In Which Sitcom Characters Are Typically Different From Real People,43,Funny,16,They’re Acting,13,Always Happy,11,Rich,11,Always Look Good
Name Something People Might Buy For Their New Goldfish.,46,Food,26,Tank,14,Some Rocks,5,Castle,4,Another Goldfish
Name A Sound You’d Hear At A Boxing Match,75,Bell,10,Cheering,5,Booing,3,Punching,2,Applause
Name A Fruit That You Might Accidentally Swallow The Seeds Of.,47,Watermelon,24,Grape,15,Cherry,8,Orange,4,Apple
Name Something Your Physician Asks That Would Be Strange To Ask A Person Who You Just Met.,61,Weight,17,Age,11,Date Of Last Cycle,5,High Blood Pressure,4,Are You Pregnant
What Part Of The School Day Might A Kindergartener Look Forward To?,42,Recess,23,Lunch,18,Nap Time,9,Going Home,6,Art
Name Something A President Probably Has With Him Everywhere He Goes?,51,Secret Service,21,Cell Phone,10,Money,9,First Lady,5,Assistant
Name A Profession You’d Shoot For If You Wanted To Be Famous.,54,Actor,26,Musician,7,Model,6,Politition,4,Athlete
If You Were Turned Into A Bird- Name Something You’d Have To Learn How To Do,86,Fly,5,Build A Nest,4,Eat Worms,2,Sing,2,Avoid Cats
Name An Occasion Where You Might Send Out Invitations.,57,Wedding,22,Birthday,10,Party,6,Graduation,5,Baby Shower
Name Something You Would Do In Front Of Children- But Would Be Embarrassed To Do In Front Of Other Adults,33,Sing,26,Pass Gass/Burp,20,Dance,13,Play,6,Baby Talk
Besides Your Mother- Name A Female Who Told You What To Do While You Were Growing Up,32,Grandmother,30,Aunt,19,Teacher,15,Older Sister,4,Babysitter
Name Something A Shoe Salesman Might Complain About.,78,Stinky Feet,7,Ugly Feet,3,Returns,3,Big Feet,2,Backache
Name Something Karaoke Singers Use For Help- But A Real Singer Shouldn’t Need.,55,Lyrics,15,Alcohol,9,Microphone,8,Music,4,Backup Vocals
Name Something You Know About Shaquille O’Neal.,38,Tall,32,Basketball Player,13,Raps,7,Officer,6,Bad Actor
Name A Type Of Event That Adults Dress Up To Go To But Kids Would Find Boring?,36,Opera,22,Broadway/Play,15,Wedding,14,Symphony,9,Ballet
Name A Chain Store That’s Put A Lot Of Mom And Pop Stores Out Of Business,61,Wal Mart,15,Starbucks,7,Home Depot,6,McDonald’s,5,Barnes & Noble
We Asked 100 Wives: Name A Place In The House Where Your Husband Spends More Time Than You Do,43,Bathroom,26,Garage,19,TV/Living Room,7,Bedroom,3,Basement
Name A Situation Where You Wouldn’t Want Someone Looking Over Your Shoulder.,46,Test,20,Office,18,In The Bedroom,9,ATM,3,Bathroom
Name Something You Can’t Be Afraid Of If You Want To Become A Vampire,72,Blood,8,The Dark,7,Cross,4,Neck Bites,2,Bats
What Do You Do If You’re Eating At A Friend’s House- And Don’t Like The Food?,33,Eat It Anyway,28,Pretend To Eat It,14,Excuse Yourself,10,Say “Not Hungry”,9,Be Honest
Name A Place Where Everyone Seems To Be In A Good Mood.,25,Place Of Worship,24,Bar,22,Amusement park,15,Party,8,Beach
Name Something A Goldfish Might Complain About,40,Dirty Water,37,No Food,10,Bowl Too Small,3,Not Enough Water,3,Beat Up By Other Fish
Besides Books- Name Something People Read.,49,Magazines,43,News Papers,4,Road Signs,2,Poems,2,Billboards
Name Something Dogs Are Trained To Find,47,Illegal Substance,18,Criminals,15,Bones,11,Missing People,3,Birds
Tell Me Something You Would See In A Blues Brothers Movie.,38,Sunglasses,16,Dancing,15,Hats,13,Musical Insruments,12,Black Suits
Name Something People Do To Their Hair That Makes Them Look Silly.,64,Dye It,14,Mohawk,6,Get A Bad Haircut,5,Curling,5,Bleach
Name The Last Thing You Read On The Internet That You Wish You Hadn’t.,53,News,18,Email/Spam,11,Gossip,8,Bills/Accounts,4,Blog/Comments
In Order To Solve A Crime- What Does An Investigator Need To Find?,36,Prints,34,Weapon,17,DNA,5,Suspect,5,Blood
Name A Sport That Can Only Be Played Outdoors In The Winter?,34,Ice Hockey,30,Skiing,15,Ice Skating,13,Snowboarding,6,Bobsledding
Name Something Cindy Crawford Is Known For,35,Mole,31,Modeling,23,Beauty,7,Aerobics,3,Body
Name A Famous Past Or Present Couple Who You’d Hate To Live Next Door To.,38,The Osbournes,29,Brad & Angelina,13,Jon & Kate,9,Addams Family,6,Bonnie & Clyde
Name Something People Eat With Chili.,52,Crackers,29,Cheese Sauce,8,Hot Dogs,4,Chips,2,Bread
Name Something A Bird Watcher Carries With Them,79,Binoculars,11,Camara,4,Bird Book,3,Notepad,2,Bread
Name Something People Do To Make Their Breath Smell Good.,44,Brush Teeth,30,Mints/Gum,13,Mouthwash,4,Floss,3,Breath Spray
Name Something Specific That Must Be Really Hard For Astronauts To Do While In Space.,29,Eat/Drink,28,Use The Bathroom,20,Move Around/Exercise,16,Sleep,3,Breathe
Name Something You Might See In A Museum About The Old West.,31,Gun,24,Pictures,16,Covered Wagon,14,Stagecoach,12,Buffalo
Besides A Waiter- Name A Job At A Restaurant.,66,Chef,8,Host,8,Dishwasher,7,Cashier,6,Busser
Name A Part Of The Body That’s Often Sore After Exercise.,41,Legs,31,Arms,17,Back,5,Stomach,4,Butt
When You Were A Little Kid- Where Did You Think Babies Came From.,56,Stork,23,Mother’s Stomach,7,Heaven,6,Already Knew,3,Cabbage Patch
Name A Feature TV Sets Have Today That They Didn’t Have 50 Years Ago,58,Remote Control,30,Color,4,Video player,3,Video Jacks,2,Cable
Name Something That Might Have Nuts In It?,33,Candy,21,Cookies,18,Brownies,15,Pies,9,Cake
Name Something A Student Might Turn On When They’re Studying.,44,Radio,23,Light,12,TV,11,Computer,5,Calculator
Name A Creature That- Until It Moves- You Don’t Know Its Head From Its Tail.,33,Snake,26,Worm,16,Turtle,13,Ant,5,Caterpillar
Name Something You Can Test In The Store Before Buying It,38,Perfume,26,TV,12,Clothes/Shoes,11,Computer,8,CD
Name Someone Who Might Work At A Mansion.,45,Maid,37,Butler,5,Cook,5,Gardener,2,Chauffeur
Name Something That Can Make An Ordinary Dinner Romantic.,35,Candles/Lighting,28,Wine,21,Flowers,9,Music,3,Chocolates
Name A Specific Bowl Game That Takes Place During The Holidays,38,Rose Bowl,20,Orange Bowl,17,Cotton Bowl,11,Sugar Bowl,9,Citrus Bowl
Name Something A Housekeeper Uses As Part Of Her Job,38,Vacuum,21,Broom,21,Mop,9,Dust Cloth,5,Cleaner
Name Someone Who Might Make A Speech At A Wedding.,43,Best Man,28,Parent,14,Bridesmaid,9,Bride/Groom,5,Clergy Member
Name A Reason Parents Might Want Their Kid To Go To A Particular College.,43,Alma Mater,19,Better Academics,16,Reputation Of School,12,The Cost,9,Close To Home
Name Something A Person Sits Next To On A Hot Day,45,Fan/Air Conditioner,20,Swimming Pool,12,Ocean/Lake,11,Tree/Shade,9,Cold Drink
Why Might A Person Refuse To Remove Their Shoes At A Party?,37,Smelly Feet,33,Dirty Floor,11,No Socks,10,Ugly Feet,4,Cold Feet
Where Were You The Last Time You Had A Bit Too Much To Drink.,52,Bar,16,Home,15,Holiday Party,8,Wedding,7,College
What Can You Consult For Directions When You’re Lost?,55,Map,27,GPS,8,Gas station Attendant,6,Police,3,Compass
Name Something Your Mom Told You Was The Key To A Happy Marriage,39,Love,33,Trust,11,Healthy Love Life,10,Communication,3,Compromise
Name An Image That’s Often Used In Ads At Thanksgiving.,44,Turkey,24,Family Dinner,17,Pilgrims,10,Native Americans,5,Cornucopia
Name A Magazine Teenagers Buy.,37,Seventeen,26,Teen,17,Tiger Beat,8,Teen People,7,Cosmogirl
Name A Place Where Someone Might Practice Driving For The First Time.,68,Parking Lot,11,Driving School,8,Field,8,Driveway,3,Country Road
Name An Occasion That It Would Not Be Fashionable To Arrive Late To.,42,Wedding,30,Funeral,13,Work/Meeting,7,Job Interview,5,Court
Name A Place Where You Would Not Be Allowed To Chew Gum.,60,School,25,Church,4,Library,3,Singapore,3,Court
Name Something People “Run” For.,53,Office,23,Marathon,16,Health,3,Their Life,3,Cover
Name Something You Might Need If You’re Eating A Lobster,30,Butter,29,Bib,19,Fork,8,Napkin,8,Cracking Tool
Name A Reason Why Basements Are Often Less Cozy Than The Rest Of A House,33,Cold,23,Dark,17,Cement Floors,14,Damp,8,Creatures Live There
Name A Type Of TV Show That You Can’t Imagine Having An Audience Laugh Track.,43,News,26,Soap Opera,14,Reality TV,9,Talk Show,4,Crime Drama
If Peter Pan Had A Phone- Name Someone He’d Probably Have On Speed Dial.,55,Tinker Bell,34,Wendy,6,Captain Hook,3,Lost Boys,2,Croc
Name Something Snoopy Does That Your Dog Would Not,34,Talk,27,Fly/Pilot,16,Sleep On House,13,Read/Write,8,Dance
Name Something A Rock Musician Might Do During A Concert That Would Look Funny For A Classical Musician To Do.,32,Scream,26,Smash Instrument,19,Jump Around,9,Take Off Shirt,8,Dance
Name Something That Would Cause You To Quit Your Job On Your First Day,44,Rude Boss,27,Too Stressfull,14,Bad Pay,8,Long Hours/Schedule,5,Dangerous
Name Something The Government Knows About You- But You Wouldn’t Talk To A Co-Worker About.,31,Income,26,Tax Information,21,Social Security,15,Criminal Record,5,Debt
Name Something You Spray On Yourself That Would Sting If It Got In Your Eyes.,34,Perfume,26,Insect Repelant,19,Hairspray,15,Sunscreen/Tan,4,Deoderant
Name Something People Use Pins For.,35,Clothes,34,Sewing,10,Hold Papers,8,Hair,5,Diapers
Name Something An Auto Racer Hopes Won’t Happen To Him During A Race.,62,Crash,12,Engine Trouble,10,Runs Out Of Gas,10,Flat Tire,6,Die
Name Something That Might Get You To Watch A New TV Show,50,Advertisement,20,Stars,10,Appears Funny,9,Win Money,6,Different
Name Something That Has Bubbles In It.,35,Soda,27,Champagne,20,Bubble Bath,11,Soap,4,Dishwashing Liquid
What Might A Celebrity Do That Causes People To Criticize Him?,55,Party,17,Cheat,9,Drive Carelessly,8,Get Arrested,5,Divorce
Name A Public Place Where You Undress,32,Dressing Room/Store,29,Beach/Pool,15,Restroom,13,Locker Room,8,Doctor’s Office
Name A Piece Of Information That Can Be Found On A Prescription Bottle.,33,Patient Name,30,Directions,16,Date/Expiration,11,Drug/Ingredients,8,Doctor/Contact
Name Something Kids Insist On Doing By Themselves Even If It Takes A Long Time.,30,Tying Their Shoelaces,28,Getting Dressed,24,Eating,4,Taking A Bath,3,Doing Their Homework
Name A Talk Show You Might Go On To Tell About Your Disaster Wedding.,36,Oprah,36,Jerry Springer,17,Maury,4,Tyra Banks,4,Dr Phil
Name Something Doctors Are Always Telling People To Stop Doing,69,Smoking,15,Eating Too Much,8,Eating Junk,4,Too Much Salt,2,Drinking Alcohol
Name Something That Would Prevent A Person From Becoming A Pilot.,56,Bad Vision,17,Fear Of Flying,13,Fear Of Heights,6,Criminal Record,6,Drinking Problem
In The Heat Of A Passionate Moment- Which Disney Character’s Name Would Be Hardest To Say With A Straight Face,40,Goofy,24,Mickey Mouse,14,Donald Duck,11,Dopey,8,Dumbo
Name A Place A Baby Sticks His Fingers That He’s Not Supposed To,39,Socket,21,Nose,18,Mouth,9,Light Switch,8,Ear
What Kind Of A Weather Event Makes The Front Page Of The News?,32,Hurricane,31,Snow/Blizzard,28,Tornado,4,Flood,3,Earthquake
Name Something That A Circus Performer’s Parents Would Cringe At Seeing Him Perform.,43,Tight Rope,28,Trapeze,12,Taming Lion,9,Sword Swallowing,7,Eating Fire
Name Something Specific People Put Salsa On,63,Chips,22,Tacos,4,Enchaladas,3,Burritos,2,Eggs
Name A Place On Your Body That You Can’t Scratch When It Itches,44,Back,24,Bottom,13,Foot,10,Throat,8,Eyes
What Is The Most Used Room In Most Homes?,30,Bathroom,27,Living Room,25,Kitchen,14,Bed Room,3,Family Room
Why Might A Person Use Stairs Instead Of The Elevator?,61,Exercise,20,Fire,6,Elevator Broken,6,Fear Of Small Spaces,3,Faster
Name Something You’d Wear To A Roaring ’20s Themed Party.,34,Hat/Headband,25,Flapper Dress,16,Beads,14,Wig/Bob,9,Feather/Boa
Name Something You Order At McDonald’s That You’d Never Order At A Fancy French Restaurant.,45,Hamburger,27,French Fries,10,Chicken Nuggets,8,Milkshake,5,Filet O Fish
Name Something You Might See In A Hunting Lodge,55,Mounted Animal Heads,20,Guns,9,Hunters,5,Antlers,5,Fireplace
Name Something Boy Scouts And Girl Scouts Both Learn To Do,38,Start Fire,27,Door To Door Sales,24,Camp,6,Community Service,3,First Aid
Name A Good Occupation For A Woman Who Was Head Cheerleader.,33,Dancer,28,Coach/Teacher,16,Model,12,Motivational Speaker,9,Fitness Instructor
Name Something You Might Use A Flashlight While Doing,42,Camping,27,Searching For Something,11,Reading,11,Hiking,7,Fixing A Car
Name Something That Supermodels Would Rather Do Without.,38,Food/Diet Food,18,High Heels,16,Camaras,13,Makeup,9,Flaws
Name Something At Your Company Holiday Party That Could Lead You To Embarrass Yourself.,45,Open Bar,22,Dance Floor,12,Karaoke,9,Mistletoe,7,Free Food
Name Someplace That Kids Need Their Parents To Drive Them,41,School,20,The Mall,15,The Movies,12,Clubs/Practice,10,Friemd’s/Party
Tell Me A Smell Most People Hate.,37,Skunk,15,Rotten Eggs,8,Ammonia,8,Onion,7,Garlic
Name A Foreign Language That Is Not Usually Offered In High School,29,Japanese,23,Chinese,21,Latin,18,Russian,9,German
Name A Heavy Animal That A China Shop Owner Wouldn’t Let Into Their Store.,47,Bull,24,Elephant,16,Bear,6,Lion,5,Giraffe
Duct Tape Can Fix A Lot Of Things- But Name An Expensive Item That It Would Probably Be Useless To Fix.,37,Car/Tires,26,TV/Electronics,16,Ring/Jewelry,13,Frige/Appliance,6,Glass/Window
Name Something A Real Estate Agent Needs To Do His Job.,53,Homes For Sale,16,Car,11,Clients,8,Advertisement,6,Good Attitude
Name A Word That People Use To Avoid Swearing.,38,Darn,29,Shoot,15,Dang,8,Fudge,5,Gosh
Name Something You Might Pay Extra For When Renting A Car,53,Insurance,13,Better Stereo,12,Milage Fees,10,Bigger Car,7,GPS
